SKU,SKU Description,x86,IBM POWER,ARM,Physical,Virtual,Virtual Datacenters,HPC,SAP,Sap Applications,SAP Solutions,Premium,Standard,Self Support,Add-on,Satellite / Smart Management ,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
RH2264664,"Red Hat Enterprise Linux Developer Support, Enterprise",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,6900,18630,RHEL,8,,,DEV-ENTERPRISE,UNLIMITED,SYSTEM,RH2264664F3
RH2282403,"Red Hat Enterprise Linux Developer Support, Professional",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,3450,9315,RHEL,8,,,DEV-PROFESSIONAL,UNLIMITED,SYSTEM,RH2282403F3
RH3482727,"Red Hat Enterprise Linux Developer Workstation, Professional",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,206,557.04,RHEL,2,,,DEV-PROFESSIONAL,1,SYSTEM,RH3482727F3
RH00270,Red Hat Enterprise Linux Extended Life Cycle Support (Physical or Virtual Nodes),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,GBP,310,,RHEL,2,,,LAYERED,0,SYSTEM,
RH00271,Red Hat Enterprise Linux Extended Life Cycle Support (Unlimited Guests),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,GBP,965,,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,
RH00003,"Red Hat Enterprise Linux Server, Premium (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,896,2420.04,RHEL,2,,,PREMIUM,0,PHYSICAL NODE OR VIRTUAL NODE,RH00003F3
RH00004,"Red Hat Enterprise Linux Server, Standard (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,551,1488.54,RHEL,2,,,STANDARD,0,PHYSICAL NODE OR VIRTUAL NODE,RH00004F3
RH00432,"Red Hat Enterprise Linux Server, Hyperscale, Premium (5 Physical Nodes)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,2243,6054.75,RHEL,0,,,PREMIUM,0,PHYSICAL NODE,RH00432F3
RH00433,"Red Hat Enterprise Linux Server, Hyperscale, Standard (5 Physical Nodes)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,1379,3722.27,RHEL,0,,,STANDARD,0,PHYSICAL NODE,RH00433F3
RH00013,"Red Hat Enterprise Linux Server (Disaster Recovery), Premium (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,GBP,448,1210.95,RHEL,2,,,PREMIUM,0,PHYSICAL NODE OR VIRTUAL NODE,RH00013F3
