SKU,SKU Description,Premium,Standard,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",Resillient Storage,Licensing Model,,,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
MCT4310,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 512TB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,10868,29342.25,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4310F3
MCT4311,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 1PB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,19406,52396.88,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4311F3
MCT4312,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 2PB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,37842,102174.37,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4312F3
MCT4313,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 3PB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,55308,149331.56,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4313F3
MCT4314,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 4PB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,71803,193868.44,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4314F3
MCT4315,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 5PB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,87328,235785.94,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4315F3
MCT4316,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 10PB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,168834,455852.81,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4316F3
MCT4478,"Red Hat OpenShift Data Foundation Essentials, Standard (2 Cores, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,55,,Container Storage,,2,,STANDARD,,CORE BAND,
MCT4492,"Red Hat OpenShift Data Foundation Essentials, Premium (2 Cores, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,83,,Container Storage,,2,,PREMIUM,,CORE BAND,
MCT4488,"Red Hat OpenShift Data Foundation Essentials (Bare Metal Node), Premium (1-2 sockets up to 64 cores, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,1242,,Container Storage,2,,,PREMIUM,,SOCKET,
MCT4490,"Red Hat OpenShift Data Foundation Essentials (Bare Metal Node), Standard (1-2 sockets up to 64 cores, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,828,,Container Storage,2,,,STANDARD,,SOCKET,
